Linear Regression:
Iteration, x, y, y_pred, MSE
57,2020.00,274814866.00,274225384.65,347488256727.90
58,2021.00,276758053.00,276635424.80,15037675337.43
59,2022.00,278830529.00,278985128.44,23900987014.27
60,2023.00,281190067.00,281272698.61,6827982780.90


0.00,2344466373900.37

Order, 3
f(x) = -299.5478x^3 + 1785985.1874x^2 - 3546116337.8048x^1 + 2344890302721.2930
 syx, 668063.3617
 r2, 1.0000


